path,extension,size_bytes,category,eligible_historical_bank,exam_id,classification_evidence
Seminario rl udea/B6(10)Fracciones.pdf,.pdf,149073,WORKSHOP,False,,Material de seminario de razonamiento lógico
Seminario rl udea/B5(8)Volumenes.pdf,.pdf,181792,WORKSHOP,False,,Material de seminario de razonamiento lógico
Banco de lecturas/Tertulia literaria AA.docx,.docx,27778,READING_BANK,False,,Texto de lectura; no es examen
Banco de lecturas/La anomia en la novela de crímenes.pdf,.pdf,120072,READING_BANK,False,,Texto de lectura; no es examen
PreU AVA/Comprensión lectora/15.LENGUAJE NO VERBAL (REVISADO DAE)VFinal_Mazuera.pdf,.pdf,247356,THEORY,False,,Módulo conceptual de preparación
Seminario rl udea/B1Acertijos.pdf,.pdf,245022,WORKSHOP,False,,Material de seminario de razonamiento lógico
"Banco de lecturas/La violencia, hija natural del hombre y su medio.pdf",.pdf,480075,READING_BANK,False,,Texto de lectura; no es examen
Solucionarios/CUADERNILLO 1 - EXAMEN DE ADMISIÓN (1).pdf,.pdf,1035219,PREPARATION_MATERIAL,False,,Solucionario o material preuniversitario
Seminario rl udea/A14Ecuaciones.pdf,.pdf,108275,WORKSHOP,False,,Material de seminario de razonamiento lógico
PreU AVA/Comprensión lectora/1. SINÓNIMOS Y ANTÓNIMOS_VFinal_Manuela.pdf,.pdf,160561,THEORY,False,,Módulo conceptual de preparación
Banco de lecturas/El lector modelo.pdf,.pdf,274513,READING_BANK,False,,Texto de lectura; no es examen
Seminario rl udea/B4Areas.pdf,.pdf,218717,WORKSHOP,False,,Material de seminario de razonamiento lógico
PreU AVA/Comprensión lectora/10. ORACION PRINCIPAL_VFinal_Mazuera.pdf,.pdf,114924,THEORY,False,,Módulo conceptual de preparación
PreU AVA/Comprensión lectora/12. CARACTERÍSTICAS DEL DISCURSO-conectores_VFinal_Mazuera.pdf,.pdf,387462,THEORY,False,,Módulo conceptual de preparación
Formarte/Razonamiento lógico/Evaluaciones de seguimiento/Evaluación de seguimiento 2  2012.pdf,.pdf,63987,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Banco de lecturas/ELOGIO A LA DIFICULTAD.pdf,.pdf,407229,READING_BANK,False,,Texto de lectura; no es examen
PreU AVA/Comprensión lectora/2. MORFOLOGIA_VFinal_Manuela2.pdf,.pdf,164952,THEORY,False,,Módulo conceptual de preparación
PreU AVA/Comprensión lectora/11. IDEA CENTRAL_VFinal_Mazuera.pdf,.pdf,114358,THEORY,False,,Módulo conceptual de preparación
Formarte/Razonamiento lógico/Talleres/Screenshot_20201212-143354.png,.png,142821,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Formarte/Razonamiento lógico/Talleres/IMG-20171029-WA0073.jpg,.jpg,51141,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Seminario rl udea/A5Volumen.pdf,.pdf,559344,WORKSHOP,False,,Material de seminario de razonamiento lógico
Banco de lecturas/bajtin_generosdiscursivos.pdf,.pdf,241735,READING_BANK,False,,Texto de lectura; no es examen
Seminario rl udea/A16RelacionesEspaciales.pdf,.pdf,1111008,WORKSHOP,False,,Material de seminario de razonamiento lógico
Formarte/Razonamiento lógico/Talleres/IMG-20171029-WA0072.jpg,.jpg,52167,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Banco de lecturas/Homofobia y estupidez..pdf,.pdf,369327,READING_BANK,False,,Texto de lectura; no es examen
Talleres temas variados/16II-analisis_combinatorio_probabilidades.pdf,.pdf,1020837,WORKSHOP,False,,Taller temático
Otros preU universidades extranjeras/evaluacion de comprencion lectora.pdf,.pdf,367652,OTHER_UNIVERSITY_EXAM,False,,Material de otra universidad o preuniversitario extranjero
Formarte/Comprensión lectora/Talleres/respuestas C.L talleres.jpg,.jpg,87141,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Otros preU universidades extranjeras/Evaluacion de Razonamiento Verbal 1.pdf,.pdf,668665,OTHER_UNIVERSITY_EXAM,False,,Material de otra universidad o preuniversitario extranjero
Formarte/Razonamiento lógico/Evaluaciones de seguimiento/Evaluación de seguimiento 6  2012.pdf,.pdf,300198,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Exámenes/Con respuestas/2016-2/Udea 2016-2 C.L respuestas.jpg,.jpg,25738,EXAM_WITH_ANSWERS_UDEA,True,,Archivo dentro de administración UdeA con respuestas; requiere trazabilidad por pregunta
Formarte/Razonamiento lógico/Módulo teorico/Curso RL por logros - parte 1 .pdf,.pdf,621877,THEORY,False,,Módulo teórico de entidad preparadora
Formarte/Razonamiento lógico/Evaluaciones de seguimiento/Evaluación de seguimiento 3  2012.pdf,.pdf,196889,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Exámenes/Con respuestas/2020-1/IMG-20200317-WA0672.jpg,.jpg,39413,EXAM_WITH_ANSWERS_UDEA,True,,Archivo dentro de administración UdeA con respuestas; requiere trazabilidad por pregunta
Exámenes/Con respuestas/Preuniversitario popular 1/Popular 1- respuestas.jpg,.jpg,34879,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Formarte/Razonamiento lógico/Evaluaciones de seguimiento/Evaluación de seguimiento 4  2012.pdf,.pdf,317480,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Formarte/Razonamiento lógico/Evaluaciones de seguimiento/Evaluación de seguimiento 1  2012.pdf,.pdf,393048,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Exámenes/Con respuestas/Preuniversitario popular 3/Popular 3- respuestas.jpg,.jpg,43834,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Formarte/Comprensión lectora/Talleres/Taller_de_Texto_argumentativo.pdf,.pdf,273705,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Formarte/Comprensión lectora/Talleres/Taller_de_Texto_expositivo.pdf,.pdf,293301,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Formarte/Comprensión lectora/Talleres/Taller_de_Pensamiento_logico.pdf,.pdf,201436,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Exámenes/Con respuestas/Exámenes unicauca/IMG-20190328-WA0009.jpg,.jpg,477031,OTHER_UNIVERSITY_EXAM,False,,Fuente excluida: Unicauca o Universidad de Cartagena
Formarte/Razonamiento lógico/Talleres/Taller virtual 3.pdf,.pdf,415127,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Exámenes/Con respuestas/2019-1 j3/IMG-20190329-WA0147.jpg,.jpg,45497,EXAM_WITH_ANSWERS_UDEA,True,,Archivo dentro de administración UdeA con respuestas; requiere trazabilidad por pregunta
Formarte/Comprensión lectora/Talleres/Taller_de_Niveles_de_lectura.pdf,.pdf,274963,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Formarte/Razonamiento lógico/Talleres/Taller virtual 1.pdf,.pdf,333366,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Exámenes/Con respuestas/2018-1 j1/2018-1 respuestas.jpg,.jpg,48600,EXAM_WITH_ANSWERS_UDEA,True,,Archivo dentro de administración UdeA con respuestas; requiere trazabilidad por pregunta
Formarte/Comprensión lectora/Talleres/Taller_de_Etimologias.pdf,.pdf,273329,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Formarte/Comprensión lectora/Talleres/Taller_de_Texto_narrativo.pdf,.pdf,276759,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Exámenes/Con respuestas/2016-2/Udea 2016-2 C.L.pdf,.pdf,176332,EXAM_WITH_ANSWERS_UDEA,True,,Archivo dentro de administración UdeA con respuestas; requiere trazabilidad por pregunta
Formarte/Razonamiento lógico/Evaluaciones de seguimiento/Evaluación de seguimiento 5  2012.pdf,.pdf,320816,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Exámenes/Con respuestas/Preuniversitario popular 2/popular 2- respuestas.jpg,.jpg,46892,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Formarte/Comprensión lectora/Talleres/Taller_de_La_comunicacion.pdf,.pdf,280490,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Formarte/Razonamiento lógico/Talleres de refuerzo/Taller de refuerzo 7.pdf,.pdf,336273,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Otros preU universidades extranjeras/Correos electrónicos RS_UNI_2019-28rroY9WIDy4S.pdf,.pdf,981928,OTHER_UNIVERSITY_EXAM,False,,Material de otra universidad o preuniversitario extranjero
Formarte/Razonamiento lógico/Talleres de refuerzo/Taller de refuerzo 1.pdf,.pdf,589212,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Seminario rl udea/A17SecuenciasLogicas.pdf,.pdf,3225672,WORKSHOP,False,,Material de seminario de razonamiento lógico
Formarte/Razonamiento lógico/Talleres/Taller virtual 5.pdf,.pdf,441934,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
"Seminario cl udea/RESPUESTAS TALLERES 6, 22, 23 Y EXAMEN DE ADMISI-ôN NIETZCHE.docx",.docx,13738,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Formarte/Comprensión lectora/Talleres/Taller_de_Analisis_textual.pdf,.pdf,274884,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Formarte/Comprensión lectora/Talleres/Taller_de_Mecanismos_de_cohesion.pdf,.pdf,295440,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Formarte/Razonamiento lógico/Talleres/Taller virtual 11.pdf,.pdf,464486,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Exámenes/Con respuestas/2019-2 j1/Screenshot_20200318-230248.png,.png,201137,EXAM_WITH_ANSWERS_UDEA,True,,Archivo dentro de administración UdeA con respuestas; requiere trazabilidad por pregunta
Formarte/Razonamiento lógico/Talleres/Taller virtual 2.pdf,.pdf,432711,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
PreU AVA/Comprensión lectora/4. Analogías_Mazuera.pdf,.pdf,569582,THEORY,False,,Módulo conceptual de preparación
Seminario cl udea/RESPUESTAS TALLERES EL FIN DEL MUNDO Y EDITORIALES POLITICA - SANTOS.docx,.docx,13903,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Exámenes/Con respuestas/2017-2 j1/Screenshot_20200318-224037.png,.png,201723,EXAM_WITH_ANSWERS_UDEA,True,,Archivo dentro de administración UdeA con respuestas; requiere trazabilidad por pregunta
Formarte/Comprensión lectora/Talleres/Taller_de_Significacion.pdf,.pdf,277259,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Exámenes/Con respuestas/2018-1 j3/Screenshot_20200318-225258.png,.png,184144,EXAM_WITH_ANSWERS_UDEA,True,,Archivo dentro de administración UdeA con respuestas; requiere trazabilidad por pregunta
Formarte/Razonamiento lógico/Talleres de refuerzo/Taller de refuerzo 5.pdf,.pdf,495056,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
PreU AVA/Comprensión lectora/16.LECTURA Y ANÁLISIS DE LA IMAGENVFinal_Mazuera.pdf,.pdf,485655,THEORY,False,,Módulo conceptual de preparación
Formarte/Razonamiento lógico/Talleres de refuerzo/Taller de refuerzo 4.pdf,.pdf,582284,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Exámenes/Con respuestas/2017-1 j1/Screenshot_20200318-223714.png,.png,202834,EXAM_WITH_ANSWERS_UDEA,True,,Archivo dentro de administración UdeA con respuestas; requiere trazabilidad por pregunta
Formarte/Razonamiento lógico/Talleres de refuerzo/Taller de refuerzo 2.pdf,.pdf,598918,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
PreU AVA/Comprensión lectora/9. Tipologia textual_VFinal_Mazuera.pdf,.pdf,1209355,THEORY,False,,Módulo conceptual de preparación
Exámenes/Con respuestas/2019-1 j1/Screenshot_20200318-230021.png,.png,208725,EXAM_WITH_ANSWERS_UDEA,True,,Archivo dentro de administración UdeA con respuestas; requiere trazabilidad por pregunta
Formarte/Comprensión lectora/Talleres/Taller_de_Refranes.pdf,.pdf,279048,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Exámenes/Sin respuestas/ExamenUdeA 2015 I J1 print.docx,.docx,190763,OFFICIAL_EXAM_UDEA,True,UDEA_2015_1_J1,Registro UdeA confirmado: UDEA_2015_1_J1
Formarte/Razonamiento lógico/Talleres/Taller virtual 4.pdf,.pdf,357780,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Formarte/Razonamiento lógico/Talleres de refuerzo/Taller de refuerzo 6.pdf,.pdf,553537,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Formarte/Razonamiento lógico/Talleres de refuerzo/Taller de refuerzo 3.pdf,.pdf,644481,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Banco de lecturas/_Donde esta la franja amarilla_ - William Ospina (9).pdf,.pdf,605417,READING_BANK,False,,Texto de lectura; no es examen
Formarte/Razonamiento lógico/Talleres/taller virtual 12(final).pdf,.pdf,662389,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Exámenes/Con respuestas/2019-2 j1/Documento de Cristian Molina.pdf,.pdf,217107,EXAM_WITH_ANSWERS_UDEA,True,,Archivo dentro de administración UdeA con respuestas; requiere trazabilidad por pregunta
Formarte/Razonamiento lógico/Módulo teorico/Curso RL por logros - parte 2 .pdf,.pdf,560621,THEORY,False,,Módulo teórico de entidad preparadora
Formarte/Razonamiento lógico/Talleres/Taller virtual 10.pdf,.pdf,315349,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Exámenes/Con respuestas/Formarte/AE117V2/AE117V2 CL.xlsx,.xlsx,53508,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Exámenes/Con respuestas/2019-1 j1/ExamenUdeA 2019 I J I print El humor.docx,.docx,554312,EXAM_WITH_ANSWERS_UDEA,True,UDEA_2019_1_J1,Registro UdeA confirmado: UDEA_2019_1_J1
Exámenes/Sin respuestas/UdeC 2018-1 J2.pdf,.pdf,658107,OTHER_UNIVERSITY_EXAM,False,,Fuente excluida: Unicauca o Universidad de Cartagena
Exámenes/Sin respuestas/UdeC 2009-1 J2.pdf,.pdf,836266,OTHER_UNIVERSITY_EXAM,False,,Fuente excluida: Unicauca o Universidad de Cartagena
Formarte/Módulo de talleres/Solucionario_Modulo_Taller_Razonamiento_Logico.xls,.xls,21850,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Exámenes/Con respuestas/2016-2/2016-2 R.L.pdf,.pdf,368599,EXAM_WITH_ANSWERS_UDEA,True,,Archivo dentro de administración UdeA con respuestas; requiere trazabilidad por pregunta
Exámenes/Con respuestas/2020-1/Correos electrónicos Examen medicina 2020-1.pdf,.pdf,551449,EXAM_WITH_ANSWERS_UDEA,True,UDEA_2020_1_J1,Registro UdeA confirmado: UDEA_2020_1_J1
Formarte/Razonamiento lógico/Talleres/Taller virtual 8.pdf,.pdf,495558,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Formarte/Razonamiento lógico/Talleres/Taller virtual 9.pdf,.pdf,464314,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Banco de lecturas/2-Hechos e Ideas.pdf,.pdf,1565517,READING_BANK,False,,Texto de lectura; no es examen
Exámenes/Con respuestas/Formarte/AE717V1/AE717V1 CL.xlsx,.xlsx,20309,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Formarte/Razonamiento lógico/Talleres/Taller virtual 7.pdf,.pdf,487266,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Exámenes/Con respuestas/Formarte/AE717V1/AE717V1 RL.xlsx,.xlsx,18958,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Exámenes/Con respuestas/Formarte/AE117V2/AE117V2 RL.xlsx,.xlsx,19136,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Exámenes/Con respuestas/2019-1 j3/ExamenUdeA 2019-I J3 print.pdf,.pdf,380716,EXAM_WITH_ANSWERS_UDEA,True,UDEA_2019_1_J3,Registro UdeA confirmado: UDEA_2019_1_J3
Exámenes/Con respuestas/Simulacro PreU a la U/RESPUESTAS SIMULACRO FINAL 2018.xlsx,.xlsx,11619,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Exámenes/Con respuestas/Formarte/ASF17V1/ASF17V1.pdf,.pdf,418881,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Exámenes/Con respuestas/Preuniversitario popular 2/popular 2.pdf,.pdf,199739,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Exámenes/Sin respuestas/2016-1 j2/2016-1 j2.docx,.docx,97661,OFFICIAL_EXAM_UDEA,True,UDEA_2016_1_J2,Registro UdeA confirmado: UDEA_2016_1_J2
Exámenes/Con respuestas/Formarte/AP117V1/AP117V1 CL.xlsx,.xlsx,22450,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Exámenes/Con respuestas/Formarte/AE617V1/AE617V1 RL.xlsx,.xlsx,21791,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Exámenes/Con respuestas/Formarte/AE317V1/AE317V1 RL.xlsx,.xlsx,21475,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Exámenes/Con respuestas/Formarte/ASF17V1/ASF17V1 RL.xlsx,.xlsx,20289,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Exámenes/Con respuestas/2018-1 j3/ExamenUdeA 2018 I J3 print Hacemos cosas con palabras.docx,.docx,180643,EXAM_WITH_ANSWERS_UDEA,True,UDEA_2018_1_J3,Registro UdeA confirmado: UDEA_2018_1_J3
Formarte/Razonamiento lógico/Talleres/Taller virtual 6.pdf,.pdf,503770,PREPARATION_MATERIAL,False,,Material de entidad preparadora; excluido del banco oficial
Exámenes/Con respuestas/2018-1 j2/Screenshot_20200318-224804.png,.png,196687,EXAM_WITH_ANSWERS_UDEA,True,,Archivo dentro de administración UdeA con respuestas; requiere trazabilidad por pregunta
Exámenes/Sin respuestas/UdeC 2019-1 J2.pdf,.pdf,683760,OTHER_UNIVERSITY_EXAM,False,,Fuente excluida: Unicauca o Universidad de Cartagena
Curso Preparatorio Razonamiento Logico-Abril-14-10.pdf,.pdf,1329289,THEORY,False,,Curso preparatorio
Exámenes/Con respuestas/Formarte/AE317V1/AE317V1 CL.xlsx,.xlsx,85825,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Exámenes/Con respuestas/Formarte/AE217V1/AE217V1 CL.xlsx,.xlsx,20044,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Exámenes/Sin respuestas/2015-1 j3/2015-1 j3.docx,.docx,142562,OFFICIAL_EXAM_UDEA,True,UDEA_2015_1_J3,Registro UdeA confirmado: UDEA_2015_1_J3
Exámenes/Con respuestas/Formarte/ASF17V1/ASF17V1 CL.xlsx,.xlsx,20406,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Exámenes/Con respuestas/Formarte/AE617V1/AE617V1 CL.xlsx,.xlsx,53589,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Exámenes/Con respuestas/Formarte/AE517V1/AE517V1.pdf,.pdf,663269,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Seminario cl udea/Sesión 5/2/Screenshot_20210711-153816~2.png,.png,38600,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Seminario cl udea/Sesión 4/1/Screenshot_20210711-151000~2.png,.png,41394,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Exámenes/Con respuestas/Formarte/AE117V1/AE117V1 RL.xlsx,.xlsx,19226,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Exámenes/Con respuestas/2019-2 j1/Documento de Cristian Molina.docx,.docx,714813,EXAM_WITH_ANSWERS_UDEA,True,UDEA_2019_2_J1,Registro UdeA confirmado: UDEA_2019_2_J1
Exámenes/Sin respuestas/UdeC 2010-2 J1.pdf,.pdf,870620,OTHER_UNIVERSITY_EXAM,False,,Fuente excluida: Unicauca o Universidad de Cartagena
Exámenes/Con respuestas/2017-2 j1/ExamenUdeA 2017 II J1 print El arte.docx,.docx,137509,EXAM_WITH_ANSWERS_UDEA,True,UDEA_2017_2_J1,Registro UdeA confirmado: UDEA_2017_2_J1
Seminario cl udea/Sesión 4/3/Screenshot_20210711-151215.png,.png,61628,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Exámenes/Con respuestas/Simulacro PreU a la U/EXAMEN FINAL RL Y CL.docx,.docx,209400,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Exámenes/Con respuestas/Formarte/AE117V1/AE117V1 CL.xlsx,.xlsx,83326,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
PreU AVA/Comprensión lectora/3. SUFIJOS Y PREFIJOS_VFinal_Manuela2.pdf,.pdf,1283964,THEORY,False,,Módulo conceptual de preparación
Seminario cl udea/Sesión 1/EXAMEN UDEA 201102 JORNADA 1 EL QUEHACER PO-ëTICO.pdf,.pdf,178562,WORKSHOP,False,,"Taller, sesión o material de seminario de competencia lectora"
Exámenes/Con respuestas/Exámenes unicauca/2012-1 j1 versión 1/examen-I-periodo-I-2012.pdf,.pdf,780000,OTHER_UNIVERSITY_EXAM,False,,Fuente excluida: Unicauca o Universidad de Cartagena
Exámenes/Con respuestas/Formarte/AP117V1/AP117V1 RL.xlsx,.xlsx,21322,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Seminario cl udea/Sesión 6/EXAMEN UDEA 200901 JORNADA 1 - EL MONSTRUO DE AUSTRIA.pdf,.pdf,113983,OFFICIAL_EXAM_UDEA,True,UDEA_2009_1_J1,Registro UdeA confirmado: UDEA_2009_1_J1
Exámenes/Con respuestas/Formarte/AE917V1/AE917V1 CL.xlsx,.xlsx,53911,PREPARATION_MATERIAL,False,,Simulacro o clave de entidad preparadora; no es examen oficial UdeA
Exámenes/Con respuestas/2018-1 j1/2018-1.pdf,.pdf,685684,EXAM_WITH_ANSWERS_UDEA,True,UDEA_2018_1_J1,Registro UdeA confirmado: UDEA_2018_1_J1
